,Time,Gas,Coins,Action
0,2022-03-21 10:50:24.436281,0,1287979,Init
0,2022-03-21 10:52:35.296563,0,1287979,Init
0,2022-03-21 10:54:31.840030,0,1177957,Init
0,2022-03-21 10:54:59.949246,0,1177957,Init
0,2022-03-21 10:56:04.544107,0,1177957,Init
0,2022-03-21 10:57:01.386584,0,1177957,Init
0,2022-03-21 11:02:51.491386,0,1177957,Init
0,2022-03-21 11:12:44.175294,0,1962489,Init
0,2022-03-21 11:14:00.191386,0,1962489,Init
0,2022-03-21 11:14:19.024163,0.02742696,10000,Retract
0,2022-03-21 11:17:55.818511,0,2035682,Init
0,2022-03-21 11:18:56.642579,0,2035682,Init
0,2022-03-21 11:19:17.009196,0.030978639999999998,10000,Submit
0,2022-03-21 11:19:37.809391,0,1905001,Init
0,2022-03-21 11:29:54.459907,0.032977120000000006,0,Activate
0,2022-03-21 11:44:21.190659,0,1872139,Init
0,2022-03-21 11:46:21.302775,0.030978639999999998,10000,Submit
0,2022-03-21 11:47:22.999412,0.11908776,0,Claim
0,2022-03-21 11:48:40.204963,0.13621564000000003,1056,Swap
0,2022-03-21 11:57:14.515141,0.032955120000000004,0,Activate
0,2022-03-21 13:08:52.618136,0.12381291999999999,0,Claim
0,2022-03-21 13:09:44.338562,0.13621168,298,Swap
0,2022-03-21 17:14:19.158901,0.030976220000000002,10000,Submit
0,2022-03-21 17:14:33.616939,0.1191245,0,Claim
0,2022-03-21 17:15:18.902542,0.1361954,764,Swap
0,2022-03-21 17:24:54.952608,0.03296282,0,Activate
0,2022-03-21 19:59:07.296909,0.0309617,10000,Submit
0,2022-03-21 19:59:51.310953,0.11911042,0,Claim
0,2022-03-21 20:00:39.188458,0.13623323999999998,1038,Swap
0,2022-03-21 20:10:13.142055,0.03295732,0,Activate
0,2022-03-21 20:34:24.685197,0.0309617,10000,Submit
0,2022-03-21 20:35:18.877165,0.1190277,0,Claim
0,2022-03-21 20:35:54.533761,0.004576,1054,Swap
0,2022-03-21 20:44:55.066627,0.004576,1054,Swap
0,2022-03-21 20:46:00.388744,0.03294918,0,Activate
0,2022-03-21 20:47:12.481190,0.004576,1054,Swap
0,2022-03-21 20:48:26.022445,0.004576,1054,Swap
0,2022-03-21 20:50:05.846297,0.004576,1054,Swap
0,2022-03-21 20:51:45.299352,0.004576,1054,Swap
0,2022-03-21 20:52:34.031901,0.004576,1054,Swap
0,2022-03-21 20:53:52.535223,0.004576,1054,Swap
0,2022-03-21 20:56:05.454435,0.004576,1054,Swap
0,2022-03-21 20:57:13.779378,0.004576,1054,Swap
0,2022-03-21 20:58:41.504945,0.004576,1054,Swap
0,2022-03-21 20:59:34.026352,0.004576,1054,Swap
0,2022-03-21 21:00:48.293019,0.004576,1054,Swap
0,2022-03-21 21:02:10.579483,0.004576,1054,Swap
0,2022-03-21 21:03:53.718052,0.004576,1054,Swap
0,2022-03-21 21:05:29.256621,0.004576,1054,Swap
0,2022-03-21 21:07:27.518531,0.004576,1054,Swap
0,2022-03-21 21:09:23.922486,0.0045254,0,Claim
0,2022-03-21 21:09:56.247357,0.004576,1054,Swap
0,2022-03-21 21:12:19.322560,0.0045254,0,Claim
0,2022-03-21 21:12:54.706335,0.004576,1054,Swap
0,2022-03-21 21:14:25.891128,0.0045254,0,Claim
0,2022-03-21 21:15:09.675123,0.004576,1054,Swap
0,2022-03-21 21:16:50.011359,0.0045254,0,Claim
0,2022-03-21 21:17:26.915418,0.004576,1054,Swap
0,2022-03-21 21:18:21.739866,0.0045254,0,Claim
0,2022-03-21 21:19:01.198622,0.004576,1054,Swap
0,2022-03-21 21:20:12.355929,0.0045254,0,Claim
0,2022-03-21 21:20:55.327162,0.004576,1054,Swap
0,2022-03-21 21:22:30.926682,0.0045254,0,Claim
0,2022-03-21 21:23:08.240074,0.004576,1054,Swap
0,2022-03-21 21:24:21.533674,0.0045254,0,Claim
0,2022-03-21 21:24:36.366790,0.004576,1054,Swap
0,2022-03-21 21:25:52.578927,0.0045254,0,Claim
0,2022-03-21 21:26:15.581001,0.004576,1054,Swap
0,2022-03-21 21:27:42.461066,0.0045254,0,Claim
0,2022-03-21 21:28:14.204287,0.004576,1054,Swap
0,2022-03-21 21:29:15.038620,0.0045254,0,Claim
0,2022-03-21 21:29:58.961881,0.004576,1054,Swap
0,2022-03-21 21:30:53.641961,0.0045254,0,Claim
0,2022-03-21 21:31:26.512804,0.004576,1054,Swap
0,2022-03-21 21:32:48.228503,0.0045254,0,Claim
0,2022-03-21 21:33:37.374224,0.004576,1054,Swap
0,2022-03-21 21:34:40.765044,0.0045254,0,Claim
0,2022-03-21 21:35:29.819028,0.004576,1054,Swap
0,2022-03-21 21:37:01.671791,0.0045254,0,Claim
0,2022-03-21 21:37:56.601356,0.004576,1054,Swap
0,2022-03-21 21:39:18.068594,0.0045254,0,Claim
0,2022-03-21 21:40:24.094658,0.004576,1054,Swap
0,2022-03-21 21:42:08.155238,0.0045254,0,Claim
0,2022-03-21 21:43:03.245193,0.004576,1054,Swap
0,2022-03-21 21:43:49.172171,0.0045254,0,Claim
0,2022-03-21 21:44:42.264371,0.004576,1054,Swap
0,2022-03-21 21:45:50.670155,0.0045254,0,Claim
0,2022-03-21 21:46:17.094304,0.004576,1054,Swap
0,2022-03-21 21:47:51.710920,0.0045254,0,Claim
0,2022-03-21 21:48:34.318670,0.004576,1054,Swap
0,2022-03-21 21:50:50.499012,0.0045254,0,Claim
0,2022-03-21 21:52:07.610340,0.004576,1054,Swap
0,2022-03-21 21:53:14.694516,0.0045254,0,Claim
0,2022-03-21 21:54:12.950898,0.004576,1054,Swap
0,2022-03-21 21:55:35.280656,0.0045254,0,Claim
0,2022-03-21 21:56:32.726376,0.004576,1054,Swap
0,2022-03-21 21:58:20.968834,0.0045254,0,Claim
0,2022-03-21 21:59:01.723056,0.004576,1054,Swap
0,2022-03-21 22:00:38.044363,0.0045254,0,Claim
0,2022-03-21 22:01:09.803906,0.004576,1054,Swap
0,2022-03-21 22:03:36.063239,0.0045254,0,Claim
0,2022-03-21 22:03:59.094568,0.004576,1054,Swap
0,2022-03-21 22:05:37.931962,0.0045254,0,Claim
0,2022-03-21 22:05:54.099181,0.004576,1054,Swap
0,2022-03-21 22:07:16.327302,0.0045254,0,Claim
0,2022-03-21 22:07:40.131119,0.004576,1054,Swap
0,2022-03-21 22:08:54.956762,0.0045254,0,Claim
0,2022-03-21 22:09:49.425730,0.004576,1054,Swap
0,2022-03-21 22:11:41.304573,0.0045254,0,Claim
0,2022-03-21 22:12:36.847311,0.004576,1054,Swap
0,2022-03-21 22:13:53.549131,0.0045254,0,Claim
0,2022-03-21 22:14:11.266745,0.004576,1054,Swap
0,2022-03-21 22:15:52.119151,0.0045254,0,Claim
0,2022-03-21 22:16:56.331166,0.004576,1054,Swap
0,2022-03-21 22:18:28.187989,0.0045254,0,Claim
0,2022-03-21 22:19:17.091700,0.004576,1054,Swap
0,2022-03-21 22:20:36.002781,0.0045254,0,Claim
0,2022-03-21 22:21:09.959130,0.004576,1054,Swap
0,2022-03-21 22:22:40.091721,0.0045254,0,Claim
0,2022-03-21 22:23:00.366405,0.004576,1054,Swap
0,2022-03-21 22:25:02.637265,0.0045254,0,Claim
0,2022-03-21 22:26:24.659764,0.004576,1054,Swap
0,2022-03-21 22:27:13.199978,0.0045254,0,Claim
0,2022-03-21 22:28:25.086367,0.004576,1054,Swap
0,2022-03-21 22:29:49.426025,0.0045254,0,Claim
0,2022-03-21 22:30:25.507046,0.004576,1054,Swap
0,2022-03-21 22:32:26.242381,0.0045254,0,Claim
0,2022-03-21 22:33:03.202192,0.004576,1054,Swap
0,2022-03-21 22:33:42.471568,0.0045254,0,Claim
0,2022-03-21 22:34:19.426567,0.004576,1054,Swap
0,2022-03-21 22:35:06.528991,0.0045254,0,Claim
0,2022-03-21 22:35:43.674740,0.004576,1054,Swap
0,2022-03-21 22:36:43.183800,0.0045254,0,Claim
